code,name,截止日期,盈利(百萬),盈利增長(%),每股盈利,每股盈利增長(%),每股派息,市盈率(倍),周息率(%),派息比率(%),每股賬面資產淨值,基準貨幣,兌換比率
00014,希慎興業s,2019/12,4845,-19.69,4.6300,-19.71,1.4400,5.40,5.76,31.10,74.3902,港元,1
00015,盈信控股,2015/03,135,16.58,0.0770,14.41,0.0500,8.44,7.69,64.94,1.1892,港元,1
00015,盈信控股,2016/03,772,474.34,0.4423,474.42,0.0200,2.40,1.89,4.52,1.5834,港元,1
00015,盈信控股,2017/03,142,-81.68,0.0807,-81.75,0.0200,10.16,2.44,24.78,1.8051,港元,1
00015,盈信控股,2018/03,409,188.91,0.2394,196.65,0.0200,2.97,2.82,8.35,2.0583,港元,1
00015,盈信控股,2019/03,705,72.28,0.4186,74.85,0.0200,1.05,4.55,4.78,2.4989,港元,1
00016,新鴻基地產s,2015/06,31082,-7.27,11.0900,-10.92,3.3500,10.89,2.77,30.21,156.8241,港元,1
00016,新鴻基地產s,2016/06,32666,5.10,11.3100,1.98,3.8500,11.96,2.85,34.04,161.9022,港元,1
00016,新鴻基地產s,2017/06,41782,27.91,14.4300,27.59,4.1000,8.12,3.50,28.41,172.0356,港元,1
00016,新鴻基地產s,2018/06,49951,19.55,17.2400,19.47,4.6500,6.78,3.98,26.97,186.0884,港元,1
00016,新鴻基地產s,2019/06,44912,-10.09,15.5000,-10.09,4.9500,6.62,4.82,31.94,195.4469,港元,1
00017,新世界發展s,2015/06,19112,96.52,2.1700,58.39,0.4200,4.75,4.08,19.35,19.8867,港元,1
00017,新世界發展s,2016/06,8666,-54.66,0.9500,-56.22,0.4400,12.04,3.85,46.32,19.1272,港元,1
00017,新世界發展s,2017/06,7676,-11.43,0.8000,-15.79,0.4600,12.36,4.65,57.50,18.9595,港元,1
00017,新世界發展s,2018/06,23338,204.05,2.3400,192.50,0.4800,4.28,4.79,20.51,21.1717,港元,1
00017,新世界發展s,2019/06,18160,-22.19,1.7800,-23.93,0.5100,4.91,5.84,28.65,21.8986,港元,1
00018,東方報業集團,2015/03,61,-32.73,0.0253,-32.89,0.0400,28.85,5.48,158.10,1.1080,港元,1
00018,東方報業集團,2016/03,55,-10.16,0.0228,-9.88,0.0400,41.67,4.21,175.44,1.0999,港元,1
00018,東方報業集團,2017/03,164,200.10,0.0683,199.56,0.1600,13.18,17.78,234.26,1.0388,港元,1
00018,東方報業集團,2018/03,158,-3.51,0.0659,-3.51,0.3100,12.14,38.75,470.41,1.0256,港元,1
00018,東方報業集團,2019/03,81,-48.53,0.0339,-48.56,0.0300,14.01,6.32,88.50,0.7586,港元,1
00019,太古股份公司Ａs,2015/12,13429,21.32,8.9300,21.33,3.9000,8.84,4.94,43.67,145.1853,港元,1
00019,太古股份公司Ａs,2016/12,9644,-28.19,6.4100,-28.22,2.1000,12.48,2.63,32.76,149.4588,港元,1
00019,太古股份公司Ａs,2017/12,26070,170.32,17.3400,170.51,2.1000,5.35,2.26,12.11,168.5820,港元,1
00019,太古股份公司Ａs,2018/12,23629,-9.36,15.7400,-9.23,3.0000,4.14,4.60,19.06,180.0930,港元,1
00019,太古股份公司Ａs,2019/12,9007,-61.88,6.0000,-61.88,3.0000,8.17,6.12,50.00,182.0405,港元,1
00020,會德豐s,2015/12,14232,-35.34,7.0000,-35.36,1.1500,9.00,1.83,16.43,99.2529,港元,1
00020,會德豐s,2016/12,16294,14.49,8.0200,14.57,1.3000,7.39,2.19,16.21,105.8461,港元,1
00020,會德豐s,2017/12,20570,26.24,10.0900,25.81,1.4250,5.21,2.71,14.12,118.3710,港元,1
00020,會德豐s,2018/12,17239,-16.19,8.4300,-16.45,1.5500,7.04,2.61,18.39,122.5992,港元,1
00020,會德豐s,2019/12,9173,-46.79,4.4800,-46.86,1.5750,11.90,2.95,35.16,130.8071,港元,1
00021,大中華地產控股,2015/12,-7,79.43,-0.0022,79.25,0.0000,-110.91,0.00,0.00,0.3108,港元,1
00021,大中華地產控股,2016/12,-3,51.77,-0.0011,50.00,0.0000,-240.91,0.00,0.00,0.2808,港元,1
00021,大中華地產控股,2017/12,-75,-2044.16,-0.0226,-1954.55,0.0000,-7.48,0.00,0.00,0.2935,港元,1
00021,大中華地產控股,2018/12,42,-,0.0126,-,0.0000,8.41,0.00,0.00,0.2717,港元,1
00021,大中華地產控股,2019/12,-4,-,-0.0010,-,0.0000,-97.00,0.00,0.00,0.2370,港元,1
00022,茂盛控股,2015/03,36,-34.57,0.0275,-34.52,0.0000,8.07,0.00,0.00,0.2957,港元,1
00022,茂盛控股,2016/03,36,-0.80,0.0273,-0.73,0.0000,11.54,0.00,0.00,0.3230,港元,1
00022,茂盛控股,2017/03,-1,-,-0.0004,-,0.0000,-687.50,0.00,0.00,0.3226,港元,1
00022,茂盛控股,2018/03,0,79.26,-0.0001,75.00,0.0000,-2120.00,0.00,0.00,0.3225,港元,1
00022,茂盛控股,2019/03,1,-,0.0008,-,0.0000,150.00,0.00,0.00,0.2972,港元,1
00023,東亞銀行s,2015/12,5522,-17.10,1.9500,-28.31,0.8800,17.18,2.63,45.13,29.3120,港元,1
00023,東亞銀行s,2016/12,3723,-32.58,1.2100,-37.95,0.5600,27.81,1.66,46.28,29.0163,港元,1
00023,東亞銀行s,2017/12,9347,151.06,3.2100,165.29,1.2800,9.31,4.28,39.88,32.3624,港元,1
00023,東亞銀行s,2018/12,6509,-30.36,2.0700,-35.51,1.1800,8.35,6.83,57.00,32.2649,港元,1
00023,東亞銀行s,2019/12,3260,-49.92,0.8900,-57.00,0.4600,18.07,2.86,51.69,32.7853,港元,1
00024,寶威控股,2014/12,-279,-7511.89,-0.0609,-7512.50,0.0000,-4.93,0.00,0.00,0.2702,港元,1
00024,寶威控股,2015/12,-123,55.77,-0.0257,57.80,0.0000,-7.86,0.00,0.00,0.2478,港元,1
00024,寶威控股,2016/12,-208,-68.40,-0.0412,-60.31,0.0000,-8.37,0.00,0.00,0.1916,港元,1
00024,寶威控股,2017/12,-8,96.29,-0.0015,96.36,0.0000,-92.67,0.00,0.00,0.1986,港元,1
00024,寶威控股,2018/12,-109,-1319.26,-0.0216,-1340.00,0.0000,-3.29,0.00,0.00,0.1614,港元,1
00025,其士國際集團s,2015/03,1537,226.80,5.2100,215.76,1.2000,2.37,9.72,23.03,26.2983,港元,1
00025,其士國際集團s,2016/03,315,-79.50,1.0500,-79.85,0.7000,13.54,4.92,66.67,25.8331,港元,1
00025,其士國際集團s,2017/03,540,71.48,1.7900,70.48,0.6000,6.67,5.03,33.52,26.3952,港元,1
00025,其士國際集團s,2018/03,908,68.05,3.0100,68.16,1.7500,3.93,14.78,58.14,28.9232,港元,1
00025,其士國際集團s,2019/03,655,-27.91,2.1700,-27.91,0.5000,4.47,5.15,23.04,29.8795,港元,1
00026,中華汽車s,2015/06,465,-30.21,10.2500,-29.89,2.3000,7.51,2.99,22.44,166.8518,港元,1
00026,中華汽車s,2016/06,349,-24.88,7.7100,-24.78,2.4000,13.23,2.35,31.13,167.9442,港元,1
00026,中華汽車s,2017/06,628,79.70,13.8600,79.77,3.0000,7.00,3.09,21.65,178.3162,港元,1
00026,中華汽車s,2018/06,942,50.11,20.8000,50.07,3.2000,4.69,3.28,15.38,196.5873,港元,1
00026,中華汽車s,2019/06,1391,47.63,30.7100,47.64,21.3000,3.22,21.52,69.36,222.9820,港元,1
00027,銀河娛樂s,2015/12,4161,-59.76,0.9780,-59.90,0.2900,38.04,0.78,29.65,9.6466,港元,1
00027,銀河娛樂s,2016/12,6283,51.01,1.4730,50.61,0.4400,47.08,0.63,29.87,10.8495,港元,1
00027,銀河娛樂s,2017/12,10504,67.18,2.4510,66.40,0.7400,22.79,1.32,30.19,12.8783,港元,1
00027,銀河娛樂s,2018/12,13507,28.59,3.1280,27.62,0.9500,17.17,1.77,30.37,14.4001,港元,1
00027,銀河娛樂s,2019/12,13042,-3.45,3.0110,-3.74,0.9100,16.37,1.85,30.22,16.9798,港元,1
00028,天安s,2015/12,2600,102.41,1.7256,102.42,0.1500,3.58,2.43,8.69,11.3742,港元,1
00028,天安s,2016/12,5713,119.73,3.7900,119.63,0.0000,1.29,0.00,0.00,14.2777,港元,1
00028,天安s,2017/12,2054,-64.04,1.3600,-64.12,0.2000,3.20,4.60,14.71,15.5467,港元,1
00028,天安s,2018/12,1251,-39.09,0.8300,-38.97,0.2000,3.63,6.64,24.10,15.8505,港元,1
00028,天安s,2019/12,1346,7.57,0.8900,7.23,0.2000,3.47,6.47,22.47,-,港元,1
00029,達力集團s,2015/06,102,6.96,0.4630,6.93,0.0550,10.56,1.12,11.88,9.0007,港元,1
00029,達力集團s,2016/06,95,-6.40,0.4270,-7.78,0.0550,18.13,0.71,12.88,8.4768,港元,1
00029,達力集團s,2017/06,116,21.57,0.5140,20.37,0.0550,12.26,0.87,10.70,8.7889,港元,1
00029,達力集團s,2018/06,126,9.11,0.5600,8.95,0.0650,23.11,0.50,11.61,9.5437,港元,1
00029,達力集團s,2019/06,49,-61.36,0.2150,-61.61,0.0700,51.91,0.63,32.56,9.1784,港元,1
00030,萬隆控股集團,2015/03,-82,-250.87,-0.0463,-185.80,0.0000,-2.05,0.00,0.00,0.1494,港元,1
00030,萬隆控股集團,2016/03,-34,59.25,-0.0145,68.68,0.0000,-17.93,0.00,0.00,0.1342,港元,1
00030,萬隆控股集團,2017/03,-198,-490.03,-0.0604,-316.55,0.0000,-3.18,0.00,0.00,0.0759,港元,1
00030,萬隆控股集團,2018/03,-1,99.26,-0.0003,99.50,0.0000,-850.00,0.00,0.00,0.1021,港元,1
00030,萬隆控股集團,2019/03,44,-,0.0076,-,0.0000,32.89,0.00,0.00,0.1185,港元,1
00031,航天控股,2015/12,985,136.88,0.3192,136.97,0.0100,3.23,0.97,3.13,1.8495,港元,1
00031,航天控股,2016/12,796,-19.15,0.2581,-19.14,0.0200,3.22,2.41,7.75,2.0065,港元,1
00031,航天控股,2017/12,486,-38.93,0.1576,-38.94,0.0300,3.68,5.17,19.04,2.2984,港元,1
00031,航天控股,2018/12,404,-16.88,0.1310,-16.88,0.0100,3.02,2.53,7.63,2.2963,港元,1
00031,航天控股,2019/12,338,-16.27,0.1097,-16.26,0.0200,3.69,4.94,18.23,-,港元,1
00032,港通控股s,2015/12,620,31.26,1.6600,30.71,0.3500,6.98,3.02,21.08,12.8898,港元,1
00032,港通控股s,2016/12,410,-33.78,1.1000,-33.73,0.3500,11.73,2.71,31.82,13.3616,港元,1
00032,港通控股s,2017/12,1180,187.52,3.1700,188.18,0.3800,3.40,3.53,11.99,16.9724,港元,1
00032,港通控股s,2018/12,447,-62.09,1.2000,-62.15,0.4000,9.43,3.53,33.33,18.5038,港元,1
00032,港通控股s,2019/12,727,62.57,1.9500,62.50,0.4200,5.70,3.78,21.54,4.5070,港元,1
00033,雲銅股份,2015/12,-64,14.57,-0.0114,65.14,0.0000,-7.63,0.00,0.00,0.0386,港元,1
00033,雲銅股份,2016/12,-113,-76.61,-0.0128,-12.28,0.0000,-8.83,0.00,0.00,0.0500,港元,1
00033,雲銅股份,2017/12,-141,-24.63,-0.0151,-17.97,0.0000,-3.51,0.00,0.00,0.0369,港元,1
00033,雲銅股份,2018/12,-103,27.07,-0.1105,-631.79,0.0000,-0.87,0.00,0.00,0.0285,港元,1
00033,雲銅股份,2019/12,-323,-213.29,-0.3452,-212.40,0.0000,-0.30,0.00,0.00,-0.0556,港元,1
00034,九龍建業s,2015/12,1202,15.50,1.0400,15.56,0.5800,8.27,6.74,55.77,19.8962,港元,1
00034,九龍建業s,2016/12,947,-21.24,0.8200,-21.15,0.6000,10.85,6.74,73.17,20.4919,港元,1
00034,九龍建業s,2017/12,1635,72.70,1.4100,71.95,0.6500,6.95,6.63,46.10,21.1669,港元,1
00034,九龍建業s,2018/12,2193,34.15,1.8600,31.91,0.7200,4.46,8.69,38.71,21.8218,港元,1
00034,九龍建業s,2019/12,2450,11.69,2.0800,11.83,0.7800,4.22,8.89,37.50,-,港元,1
00035,遠東發展s,2015/03,957,4.65,0.5100,0.00,0.1600,4.90,6.40,31.37,4.7779,港元,1
00035,遠東發展s,2016/03,734,-23.22,0.3700,-27.45,0.1600,11.08,3.90,43.24,4.7568,港元,1
00035,遠東發展s,2017/03,1118,52.19,0.5100,37.84,0.1850,8.82,4.11,36.27,4.8213,港元,1
00035,遠東發展s,2018/03,1567,40.18,0.6900,35.29,0.2200,5.46,5.84,31.88,5.6351,港元,1
00035,遠東發展s,2019/03,1714,9.38,0.7400,7.25,0.2200,3.51,8.46,29.73,5.7036,港元,1
00036,遠東控股國際,2015/12,69,167.35,0.0729,67.97,0.0000,10.56,0.00,0.00,0.7935,港元,1
00036,遠東控股國際,2016/12,-54,-,-0.0495,-,0.0000,-16.16,0.00,0.00,0.7436,港元,1
00036,遠東控股國際,2017/12,69,-,0.0638,-,0.0000,6.19,0.00,0.00,0.8077,港元,1
00036,遠東控股國際,2018/12,-106,-,-0.0973,-,0.0000,-1.44,0.00,0.00,0.7132,港元,1
00036,遠東控股國際,2019/12,-132,-24.83,-0.1215,-24.87,0.0000,-1.13,0.00,0.00,-,港元,1
00037,遠東酒店實業,2015/03,-68,-1464.10,-0.1150,-1192.13,0.0000,-3.35,0.00,0.00,0.4853,港元,1
00037,遠東酒店實業,2016/03,-11,84.49,-0.0176,84.70,0.0000,-26.14,0.00,0.00,0.4711,港元,1
00037,遠東酒店實業,2017/03,-5,54.74,-0.0079,55.11,0.0000,-48.10,0.00,0.00,0.4593,港元,1
00037,遠東酒店實業,2018/03,7,-,0.0122,-,0.0000,20.49,0.00,0.00,0.4835,港元,1
00037,遠東酒店實業,2019/03,-10,-,-0.0157,-,0.0000,-7.64,0.00,0.00,0.4667,港元,1
00038,第一拖拉機股份,2015/12,159,-23.95,0.1598,-23.94,0.0482,27.90,1.08,30.17,5.5196,港元,1.1761
00038,第一拖拉機股份,2016/12,248,55.96,0.2495,56.09,0.0633,11.70,2.17,25.39,6.1411,港元,1.11125
00038,第一拖拉機股份,2017/12,68,-72.70,0.0686,-72.51,0.0000,30.62,0.00,0.00,5.8340,港元,1.1989
00038,第一拖拉機股份,2018/12,-1480,-,-1.5016,-,0.0000,-0.92,0.00,0.00,4.6279,港元,1.1386
00038,第一拖拉機股份,2019/12,69,-,0.0697,-,0.0000,23.95,0.00,0.00,-,港元,1.1175
00039,中國北大荒,2015/12,19,-83.52,0.0051,-86.82,0.0000,84.31,0.00,0.00,0.4309,港元,1
00039,中國北大荒,2016/12,7,-62.82,0.0015,-70.59,0.0000,233.33,0.00,0.00,0.1981,港元,1
00039,中國北大荒,2017/12,115,1.49K,0.0220,1.37K,0.0000,12.50,0.00,0.00,0.2691,港元,1
00039,中國北大荒,2018/12,5,-95.96,0.0008,-96.36,0.0000,75.00,0.00,0.00,0.2597,港元,1
00039,中國北大荒,2019/12,-291,-,-0.0494,-,0.0000,-1.19,0.00,0.00,0.1975,港元,1
00040,金山工業,2015/03,52,-,0.0660,-,0.0500,11.36,6.67,75.76,1.7918,港元,1
00040,金山工業,2016/03,19,-63.69,0.0240,-63.64,0.0350,31.25,4.67,145.83,1.6867,港元,1
00040,金山工業,2017/03,20,7.50,0.0260,8.33,0.0240,33.85,2.73,92.31,1.6163,港元,1
00040,金山工業,2018/03,20,1.23,0.0260,0.00,0.0240,31.15,2.96,92.31,1.9368,港元,1
00040,金山工業,2019/03,61,201.83,0.0780,200.00,0.0420,8.72,6.18,53.85,1.8001,港元,1
00041,鷹君s,2015/12,3312,56.60,4.9800,54.18,2.7400,7.73,7.12,55.02,81.7370,港元,1
00041,鷹君s,2016/12,2770,-16.38,4.1000,-17.67,1.2500,9.52,3.20,30.49,82.4351,港元,1
00041,鷹君s,2017/12,8818,218.36,12.8300,212.93,1.7800,3.06,4.53,13.87,93.6242,港元,1
00041,鷹君s,2018/12,5811,-34.10,8.3300,-35.07,0.8300,2.80,3.55,9.96,99.2673,港元,1
00041,鷹君s,2019/12,-338,-,-0.4800,-,1.3300,-47.08,5.88,-277.08,97.2954,港元,1
00042,東北電氣,2015/12,6,-24.63,0.0066,-47.22,0.0000,122.99,0.00,0.00,0.3999,港元,1.1761
00042,東北電氣,2016/12,-111,-,-0.1266,-,0.0000,-6.40,0.00,0.00,0.2580,港元,1.11125
00042,東北電氣,2017/12,-476,-330.56,-0.5395,-326.25,0.0000,-1.50,0.00,0.00,-0.2727,港元,1.1989
00042,東北電氣,2018/12,17,-,0.0228,-,0.0000,18.44,0.00,0.00,0.0112,港元,1.1386
00042,東北電氣,2019/12,-45,-,-0.0514,-,0.0000,-7.68,0.00,0.00,-,港元,1.1175
00043,卜蜂國際s,2015/12,2074,6.35,0.0818,5.96,0.0380,9.77,4.75,46.40,0.3496,港元,7.7505
00043,卜蜂國際s,2016/12,2018,-2.68,0.0796,-2.70,0.0400,7.91,6.35,50.24,0.3619,港元,7.754
00043,卜蜂國際s,2017/12,327,-83.79,0.0129,-83.81,0.0070,49.64,1.10,54.55,0.4018,港元,7.814
00043,卜蜂國際s,2018/12,2207,574.47,0.0871,575.66,0.0431,7.81,6.34,49.46,0.4411,港元,7.834
00043,卜蜂國際s,2019/12,2693,22.04,0.1063,22.02,0.0320,6.12,4.92,30.11,0.5009,港元,7.787
00045,大酒店s,2015/12,1000,-12.74,0.6500,-14.47,0.2000,13.94,2.21,30.77,23.6079,港元,1
00045,大酒店s,2016/12,675,-32.50,0.4300,-33.85,0.1900,28.56,1.55,44.19,23.2029,港元,1
00045,大酒店s,2017/12,1155,71.11,0.7300,69.77,0.2000,15.51,1.77,27.40,24.0245,港元,1
00045,大酒店s,2018/12,1216,5.28,0.7600,4.11,0.2100,9.21,3.00,27.63,23.9702,港元,1
00045,大酒店s,2019/12,494,-59.38,0.3000,-60.53,0.1300,23.40,1.85,43.33,23.9009,港元,1
00046,科聯系統,2015/12,44,-9.61,0.1827,-9.82,0.1400,17.13,4.47,76.63,1.7552,港元,1
00046,科聯系統,2016/12,50,14.15,0.2081,13.90,0.1700,14.08,5.80,81.69,1.8079,港元,1
00046,科聯系統,2017/12,54,7.92,0.2243,7.78,0.2200,14.58,6.73,98.08,1.8549,港元,1
00046,科聯系統,2018/12,68,25.21,0.2785,24.16,0.2100,10.56,7.14,75.40,1.9162,港元,1
00046,科聯系統,2019/12,56,-17.84,0.2263,-18.74,0.1700,10.69,7.02,75.12,1.9295,港元,1
00047,合興集團,2015/12,66,86.03,0.0066,88.57,0.0025,36.06,1.05,37.88,0.0445,港元,1
00047,合興集團,2016/12,125,89.42,0.0126,90.91,0.0062,14.92,3.30,49.21,0.0500,港元,1
00047,合興集團,2017/12,167,34.30,0.0171,35.71,0.0083,8.77,5.53,48.54,0.0649,港元,1
00047,合興集團,2018/12,123,-26.74,0.0125,-26.90,0.0061,5.44,8.97,48.80,0.0660,港元,1
00047,合興集團,2019/12,116,-5.11,0.0120,-4.34,0.0025,5.85,3.54,20.74,-,港元,1.1175
00048,中國汽車內飾,2015/12,155,380.62,0.1035,294.94,0.0000,1.48,0.00,0.00,0.3984,港元,1.1761
00048,中國汽車內飾,2016/12,-148,-,-0.0845,-,0.0000,-1.21,0.00,0.00,0.2757,港元,1.11125
00048,中國汽車內飾,2017/12,-284,-91.27,-0.1439,-70.35,0.0000,-0.42,0.00,0.00,0.1542,港元,1.1989
00048,中國汽車內飾,2018/12,-74,73.96,-0.1856,-29.00,0.0000,-0.39,0.00,0.00,0.1137,港元,1.1386
00048,中國汽車內飾,2019/12,-34,54.38,-0.0849,54.24,0.0000,-0.68,0.00,0.00,0.4943,港元,1.1175
00050,香港小輪（集團）s,2015/12,193,-81.30,0.5400,-81.31,0.3600,16.46,4.05,66.67,15.8645,港元,1
00050,香港小輪（集團）s,2016/12,237,22.69,0.6600,22.22,0.3600,13.64,4.00,54.55,16.2517,港元,1
00050,香港小輪（集團）s,2017/12,311,31.45,0.8700,31.82,0.3800,10.17,4.29,43.68,16.7480,港元,1
